ID,METER,FP1P,FP2P,FP3P,FP4P,SP1P,SP2P,SP3P,SP4P,FP1S,FP2S,FP3S,FP4S,SP1S,SP2S,SP3S,SP4S
1,madid_partial,fa'ilaaton,fa'ilon,,,fa'ilaaton,fi'lon,,,SSLL,SSL,,,SSLL,LL,,
5,madid_partial,fa'ilaaton,fa'ilon,,,faa'ilaaton,fi'lon,,,SSLL,SSL,,,LSLL,LL,,
9,madid_partial,fa'ilaaton,faa'ilon,,,fa'ilaaton,fi'lon,,,SSLL,LSL,,,SSLL,LL,,
13,madid_partial,fa'ilaaton,faa'ilon,,,faa'ilaaton,fi'lon,,,SSLL,LSL,,,LSLL,LL,,
17,madid_partial,fa'ilaaton,faa'ilo,,,fa'ilaaton,fi'lon,,,SSLL,LSS,,,SSLL,LL,,
21,madid_partial,fa'ilaaton,faa'ilo,,,faa'ilaaton,fi'lon,,,SSLL,LSS,,,LSLL,LL,,
25,madid_partial,fa'ilaaton,fa'ilo,,,fa'ilaaton,fi'lon,,,SSLL,SSS,,,SSLL,LL,,
29,madid_partial,fa'ilaaton,fa'ilo,,,faa'ilaaton,fi'lon,,,SSLL,SSS,,,LSLL,LL,,
33,madid_partial,faa'ilaaton,fa'ilon,,,fa'ilaaton,fi'lon,,,LSLL,SSL,,,SSLL,LL,,
37,madid_partial,faa'ilaaton,fa'ilon,,,faa'ilaaton,fi'lon,,,LSLL,SSL,,,LSLL,LL,,
41,madid_partial,faa'ilaaton,faa'ilon,,,fa'ilaaton,fi'lon,,,LSLL,LSL,,,SSLL,LL,,
45,madid_partial,faa'ilaaton,faa'ilon,,,faa'ilaaton,fi'lon,,,LSLL,LSL,,,LSLL,LL,,
49,madid_partial,faa'ilaaton,faa'ilo,,,fa'ilaaton,fi'lon,,,LSLL,LSS,,,SSLL,LL,,
53,madid_partial,faa'ilaaton,faa'ilo,,,faa'ilaaton,fi'lon,,,LSLL,LSS,,,LSLL,LL,,
57,madid_partial,faa'ilaaton,fa'ilo,,,fa'ilaaton,fi'lon,,,LSLL,SSS,,,SSLL,LL,,
61,madid_partial,faa'ilaaton,fa'ilo,,,faa'ilaaton,fi'lon,,,LSLL,SSS,,,LSLL,LL,,
65,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,LL,LSSL,SSL,LSSL,LL
66,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,LL,LSSL,SSL,SLSL,LL
67,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mofta'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,LL,LSSL,SSL,LLSL,LL
68,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mafaa'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,LL,SLSL,SSL,LSSL,LL
69,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mafaa'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,LL,SLSL,SSL,SLSL,LL
70,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mafaa'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,LL,SLSL,SSL,LLSL,LL
71,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mostaf'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,LL,LLSL,SSL,LSSL,LL
72,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mostaf'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,LL,LLSL,SSL,SLSL,LL
73,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mostaf'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,LL,LLSL,SSL,LLSL,LL
83,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mofta'ilon,faa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,LL,LSSL,LSL,LSSL,LL
84,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mofta'ilon,faa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,LL,LSSL,LSL,SLSL,LL
85,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mofta'ilon,faa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,LL,LSSL,LSL,LLSL,LL
86,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mafaa'ilon,faa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,LL,SLSL,LSL,LSSL,LL
87,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mafaa'ilon,faa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,LL,SLSL,LSL,SLSL,LL
88,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mafaa'ilon,faa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,LL,SLSL,LSL,LLSL,LL
89,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mostaf'ilon,faa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,LL,LLSL,LSL,LSSL,LL
90,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mostaf'ilon,faa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,LL,LLSL,LSL,SLSL,LL
91,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,mostaf'ilon,faa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,LL,LLSL,LSL,LLSL,LL
101,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,SSL,LSSL,SSL,LSSL,LL
102,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,SSL,LSSL,SSL,SLSL,LL
103,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,SSL,LSSL,SSL,LLSL,LL
104,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,SSL,SLSL,SSL,LSSL,LL
105,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,SSL,SLSL,SSL,SLSL,LL
106,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,SSL,SLSL,SSL,LLSL,LL
107,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,SSL,LLSL,SSL,LSSL,LL
108,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,SSL,LLSL,SSL,SLSL,LL
109,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,SSL,LLSL,SSL,LLSL,LL
110,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LSSL,SSL,LSSL,SSL
111,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LSSL,SSL,SLSL,SSL
112,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LSSL,SSL,LLSL,SSL
113,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,fa'ilon,mofta'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,SLSL,SSL,LSSL,SSL
114,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,fa'ilon,mafaa'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,SLSL,SSL,SLSL,SSL
115,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,fa'ilon,mostaf'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,SLSL,SSL,LLSL,SSL
