ID,METER,FP1P,FP1S,FP2P,FP2S,FP3P,FP3S,FP4P,FP4S,SP1P,SP1S,SP2P,SP2S,SP3P,SP3S,SP4P,SP4S
2,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL
3,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL
5,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL
6,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL
8,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL
9,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL
11,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL
12,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'iilon,SLLL
14,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilo,SLLS,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL
15,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilo,SLLS,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL
17,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilo,SLLS,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL
18,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilo,SLLS,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL
20,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilo,SLLS,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL
