fun,metric,method,attributes,k,hopkins,dunn,silhouette,calinhara,davisbouldin,bad
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,2,0.784987053534831,0.12071153286341,0.292788519443278,38.14,1.73684859977284,14
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,3,0.784987053534831,0.074855879073755,0.276619703144857,34.39,1.43188480452088,11
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,4,0.784987053534831,0.074855879073755,0.207183288842106,31.01,1.4578155497415,13
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,5,0.784987053534831,0.118479813907478,0.240833013920805,32.64,1.38441114811966,4
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,6,0.784987053534831,0.0529316929655575,0.224720107450582,31.84,1.31262873720634,7
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,7,0.784987053534831,0.127155374749121,0.217095160365072,29,1.38945970030779,9
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,8,0.784987053534831,0.14675696632544,0.217642376489493,27.72,1.32774491933706,8
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,9,0.784987053534831,0.176452785293317,0.231348395641723,28.45,1.26345529410383,5
hclust,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,2,0.784987053534831,0.10103481107214,0.216559678877995,33.04,1.87886878845561,20
hclust,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,3,0.784987053534831,0.125441419405929,0.232961364158869,26.84,1.328067603781,19
hclust,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,4,0.784987053534831,0.113537619681232,0.165603284659834,25.61,1.28678222523545,26
hclust,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,5,0.784987053534831,0.134783986113152,0.185225583542318,26.78,1.33836917685362,23
hclust,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,6,0.784987053534831,0.135883682423561,0.209683593120368,28.48,1.32258495155011,15
hclust,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,7,0.784987053534831,0.159008167783582,0.217972077704464,27.25,1.21953901642222,16
hclust,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,8,0.784987053534831,0.159008167783582,0.197702938468976,26.85,1.211390726776,19
hclust,euclidean,ward.D2,USG-POT-REP-DIV-EVE-VAR,9,0.784987053534831,0.159008167783582,0.20621338351689,26.78,1.14231497728504,20
