FILENAME,POET,POEM
Abdelmonim-Nagwa.png,Abdelmonim Al Rifaaii,Nagwa
Abdulrahma-Bochraa Fa.png,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa
Abi Alatah-Inna Al Fa.png,Abi Alatahiya,Inna Al Fanae
Abou Al Fa-Itha warad.png,Abou Al Fayd Al Kattani,Itha waradna maaa madyana
Abou Al ka-Gannaho al.png,Abou Al kasem Al Chabbi,Gannaho al amso
Abou Al ka-Yaa Labtis.png,Abou Al kasem Al Chabbi,Yaa Labtissamati Qalbin
Abou Al ka-Yaa Rafiik.png,Abou Al kasem Al Chabbi,Yaa Rafiiki
Abou Alala-Ijtanib An.png,Abou Alalae Al Maarri,Ijtanib Annass
Abou Alala-Kollon 3la.png,Abou Alalae Al Maarri,Kollon 3la Makrouhihi
Abou Alala-Qifee waqf.png,Abou Alalae Al Maarri,Qifee waqfatan
Abou Firas-Allawmo Li.png,Abou Firas Al Hamadani,Allawmo Lil3aachiqin
Abou Firas-Liayyikomo.png,Abou Firas Al Hamadani,Liayyikomou athkoro
Abou Firas-Yaa Hasrat.png,Abou Firas Al Hamadani,Yaa Hasratan
Abou Nawas-Ilaahana.png,Abou Nawas,Ilaahana
Abou Nawas-3azzou Akh.png,Abou Nawas,3azzou Akhillaya Qalbi
Acharif Ar-Amaa Konta.png,Acharif Arradi,Amaa Konta Ma3a Alhayyi
Ahmed Al K-Foaadon mi.png,Ahmed Al Kiwani,Foaadon miloho amalo
Ahmed Al K-Wajdon Lah.png,Ahmed Al Kiwani,Wajdon Lahou
Ahmed Chaw-Afifo Al J.png,Ahmed Chawqui,Afifo Al Jahri
Ahmed Chaw-Akhathat N.png,Ahmed Chawqui,Akhathat Na3chaki Misrou
Ahmed Chaw-Bayna Sam3.png,Ahmed Chawqui,Bayna Sam3i Allah
Ahmed Chaw-Fachawdato.png,Ahmed Chawqui,Fachawdato Riwaayaton
Ahmed Chaw-Modnaka.png,Ahmed Chawqui,Modnaka
Ahmed Chaw-Yabna Zayd.png,Ahmed Chawqui,Yabna Zaydoun Marhaba
Ahmed Rami-Ila Um Kol.png,Ahmed Rami,Ila Um Kolthoum
Ahmed Rami-Robaa3ayaa.png,Ahmed Rami,Robaa3ayaat Al Khayyam
Al Aacha-Moallaqa.png,Al Aacha,Moallaqa
Al Akhtal-Kad Gharra.png,Al Akhtal,Kad Gharrahom
Al Bohtori-Maa Lilkab.png,Al Bohtori,Maa Lilkabiiri Min Ghawaani
Al Boussir-Al Borda.png,Al Boussiri,Al Borda
Al Charif -Ilaa Kam A.png,Al Charif Al Mortada,Ilaa Kam Aqoudo Qawman
Al Harith -Moallaqa.png,Al Harith Ibn Hiliza,Moallaqa
Al Hays Ba-Wa Bilqasr.png,Al Hays Bays,Wa Bilqasri Arihi
Al Hosari -Ya Laylo A.png,Al Hosari Al Qayrawani,Ya Laylo Al Sabbo
Al Khansae-Alaa Abki .png,Al Khansae,Alaa Abki 3laa Sakhr
Al Khansae-Marahat 3a.png,Al Khansae,Marahat 3ayni
Al Manfalo-Ayyoha Al .png,Al Manfalouti,Ayyoha Al Fatiko Al Athiimo
Al Motanab-A haqon 3a.png,Al Motanabbi,A haqon 3afa bidam3ika
Al Motanab-Aid.png,Al Motanabbi,Aid
Al Motanab-Lahawa Aln.png,Al Motanabbi,Lahawa Alnofouss
Al Motanab-Maa Lilmor.png,Al Motanabbi,Maa Lilmorouji Al khodri
