meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
sarii_complete,LLSL,LSSL,LSL,,LLSL,LLSL,LSLA,,NNNNNNN
sarii_complete,LSSL,LLSL,LSL,,LSSL,LSSL,LSLA,,NNNNNNN
sarii_complete,SLSL,LLSL,LSL,,SLSL,LLSL,LSLA,,NNNNNNN
sarii_complete,SLSL,LLSL,LSL,,SLSL,LSSL,LSLA,,NNNNNNN
sarii_complete,LSSL,LSSL,LSL,,SLSL,LLSL,LSLA,,NNNNNNN
sarii_complete,LLSL,LSSL,LSL,,SLSL,LLSL,LSLA,,NNNNNNN
sarii_complete,LLSL,LSSL,LSL,,SLSL,LLSL,LSLA,,NNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LLSL,LSLA,,NNNNNNN
sarii_complete,SLSL,LSSL,LSL,,LSSL,LLSL,LSLA,,NNNNNNN
sarii_complete,SLSL,LLSL,LSL,,SLSL,LSSL,LSLA,,NNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LSSL,LSLA,,NNNNNNN
sarii_complete,LSSL,LSSL,LSL,,SLSL,LLSL,LSLA,,NNNNNNN
sarii_complete,LSSL,LLSL,LSL,,LLSL,LLSL,LSLA,,NNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LLSL,LSLA,,NNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LSSL,LLSL,LSLA,,NNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LLSL,LSLA,,NNNNNNN
sarii_complete,LLSL,LSSL,LSL,,SLSL,LLSL,LSLA,,NNNNNNN
sarii_complete,SLSL,LSSL,LSL,,LLSL,LSSL,LSLA,,NNNNNNN
