meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
sarii_complete,LLSL,LLSL,LL,,SLSL,LSSL,LL,,NNNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SSSL,LSSL,LSL,,SLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LSSL,LLSL,LSL,,LLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LSSL,LLSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LSSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LSSL,LLSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,SLSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,LLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,LSSL,LSSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LSSL,LSSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LSSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,LSSL,LSSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,SLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,SLSL,SSSL,LL,,SLSL,LLSL,LL,,NNNNNNNNNN
sarii_complete,LSSL,LLSL,SSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LSSL,LS,,LLSL,LLSL,LL,,NNNNNNNNNN
sarii_complete,SSSL,LSSL,LSL,,LSSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LSSL,LSSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LL,,LLSL,LLSL,LL,,NNNNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LSSL,LLSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,SLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LSSL,LLSL,LSL,,SLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LSSL,LLSL,LSL,,LLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LSSL,SLSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,LSSL,LSSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,SLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LSSL,LLSL,SSL,,LSSL,SLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,SLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,LSSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LSSL,SLSL,LS,,LLSL,LLSL,LL,,NNNNNNNNNN
sarii_complete,LLSL,LSSL,SSL,,LLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,LSSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LSSL,LSSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LSSL,LL,,NNNNNNNNN
