meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
kamil_complete,LLSL,SSLSL,SSLS,,LLSL,SSLSL,SSLL,,NNNN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,SSLSL,LLL,,NNNN
kamil_complete,SSLSL,SSLSL,SSLSL,,LLSL,SSLSL,SSLL,,NN
kamil_complete,SSLSL,SSLSL,SSLSL,,SSLSL,SSLSL,SSLL,,N
kamil_complete,SSLSL,SSLSL,SSLSL,,LLSL,SSLSL,LLL,,NNN
kamil_complete,SSLSL,SSLSL,SSLSL,,SSLSL,SSLSL,SSLL,,N
kamil_complete,LLSL,SSLSL,SSLSL,,SSLSL,SSLSL,SSLL,,NN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,SSLSL,SSLL,,NNN
kamil_complete,SSLSL,SSLSL,SSLSL,,SSLSL,SSLSL,SSLL,,N
kamil_complete,SSLSL,SSLSL,SSLSL,,LLSL,LLSL,LLL,,NNNN
kamil_complete,SSLSL,SSLSL,SSLSL,,LLSL,SSLSL,SSLL,,NN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,LLSL,SSLL,,NNNN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,SSLSL,SSLL,,NNN
kamil_complete,SSLSL,LLSL,SSLSL,,SSLSL,SSLSL,SSLL,,NN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,SSLSL,SSLL,,NNN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,SSLSL,SSLL,,NNN
kamil_complete,LLSL,SSLSL,SSLSL,,SSLSL,SSLSL,SSLL,,NN
kamil_complete,SSLSL,SSLSL,SSLSL,,LLSL,LLSL,SSLL,,NNN
kamil_complete,SSLSL,SSLSL,SSLSL,,SSLSL,SSLSL,SSLL,,N
kamil_complete,LLSL,LLSL,SSLSL,,SSLSL,SSLSL,SSLL,,NNN
kamil_complete,LLSL,LLSL,SSLSL,,LLSL,LLSL,SSLL,,NNNNN
kamil_complete,LLSL,SSLSL,LLSL,,LLSL,SSLSL,SSLL,,NNNN
