meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
motadaarak_complete,LL,LL,SSL,SSL,SSL,LL,SSL,SSL,NNNNNNNNN
motadaarak_complete,LL,SSL,LL,LL,SSL,LL,SSL,SSL,NNNNNNNNNN
motadaarak_complete,LL,SSL,SSL,LL,SSL,LL,SSL,SSL,NNNNNNNNN
motadaarak_complete,LL,LL,SSL,LS,SSL,LL,SSL,SSL,NNNNNNNNNN
motadaarak_complete,SSL,SSL,SSL,LS,LL,LL,SSL,SSL,NNNNNNNNN
motadaarak_complete,LL,SSL,SSL,LL,SSL,SSL,SSL,SSL,NNNNNNNN
motadaarak_complete,SSL,LL,LL,LL,SSL,SSL,SSL,SSL,NNNNNNNNN
motadaarak_complete,LL,LL,SSL,SSL,LL,LL,SSL,SSL,NNNNNNNNNN
motadaarak_complete,SSL,LL,SSL,SSL,SSL,LL,SSL,SSL,NNNNNNNN
motadaarak_complete,SSL,LL,SSL,SSL,LL,LL,SSL,SSL,NNNNNNNNN
motadaarak_complete,SSL,LL,SSL,SSL,SSL,LL,SSL,SSL,NNNNNNNN
motadaarak_complete,SSL,LL,SSL,LS,SSL,LL,SSL,SSL,NNNNNNNNN
motadaarak_complete,SSL,LL,SSL,SSL,SSL,LL,SSL,SSL,NNNNNNNN
motadaarak_complete,SSL,LL,SSL,SSL,SSL,SSL,SSL,SSL,NNNNNNN
motadaarak_complete,SSL,LL,SSL,SSL,SSL,LL,SSL,SSL,NNNNNNNN
motadaarak_complete,SSL,LL,SSL,SSL,SSL,LL,SSL,SSL,NNNNNNNN
motadaarak_complete,SSL,LL,SSL,SSL,LL,LL,SSL,SSL,NNNNNNNNN
motadaarak_complete,SSL,LL,SSL,SSL,SSL,LL,SSL,SSL,NNNNNNNN
motadaarak_complete,LL,LL,SSL,LL,LL,LL,SSL,SSL,NNNNNNNNNNN
motadaarak_complete,SSL,LL,SSL,SSL,LL,LL,SSL,SSL,NNNNNNNNN
motadaarak_complete,LL,LL,SSL,SSL,LL,SSL,SSL,SSL,NNNNNNNNN
motadaarak_complete,LL,SSL,SSL,SSL,SSL,SSL,SSL,SSL,NNNNNNN
motadaarak_complete,LL,SSL,SSL,SSL,LL,LL,SSL,SSL,NNNNNNNNN
motadaarak_complete,LL,LL,SSL,LS,SSL,LL,SSL,SSL,NNNNNNNNNN
motadaarak_complete,SSL,LL,SSL,SSL,LL,LL,SSL,SSL,NNNNNNNNN
motadaarak_complete,LL,LL,SSL,LS,SSL,LL,SSL,SSL,NNNNNNNNNN
motadaarak_complete,LL,LL,SSL,SSL,SSL,LL,SSL,SSL,NNNNNNNNN
motadaarak_complete,LL,SSL,SSL,LL,SSL,LL,SSL,SSL,NNNNNNNNN
motadaarak_complete,LL,SSL,LL,LL,SSL,LL,SSL,SSL,NNNNNNNNNN
motadaarak_complete,LL,LL,SSL,SSL,SSL,LL,SSL,SSL,NNNNNNNNN
