meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
mojtath_complete,LLSL,SSLL,,,LLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,SSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,SSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,SSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,SSLL,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,SSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,SSLL,,,LLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,LLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,SSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,SSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,LLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,SSLL,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,SSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,SSLL,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,SSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,SSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,SSLS,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,SSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,SSLL,,,LLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,SSLL,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,LLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,SSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,SSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,SSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
