meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
mojtath_complete,LLSL,LSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,LLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,LLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,LLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,SSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,SSLL,,,SLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,SSLS,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,LLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,LLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,SSLL,,,LLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,LSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,SLSL,SSLL,,,SLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLS,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,LLSL,SSLL,,,NNNNNNNNNNNNNN
mojtath_complete,LLSL,LSLL,,,LLSL,LSLL,,,NNNNNNNNNNNNNN
