meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
rajaz_manhouk,SLSL,LLSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,SLSL,SLSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LLSL,LLSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LLSL,LLSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LLSL,SLSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LLSL,LLSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LLSL,SLSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,SLSL,LLSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LLSL,LLSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LSSL,LSSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LLSL,LSSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LSSL,LSSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,SLSL,SLSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LSSL,LLSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LLSL,LLSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LLSL,LSSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LLSL,LSSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LLSL,LLSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LLSL,LSSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
rajaz_manhouk,LLSL,SLSL,,,,,,,NNNNNNNNNNNNNNNNNNNNNN
