meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
bassit_mokhlaa,LLSL,LSL,SLL,,LSSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LSSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLS,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LSSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLS,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,LLSL,SSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LSSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LSSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LLL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LLL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,SSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LLL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,SSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLS,,LLSL,SSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LLL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
