meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
ramal_complete,SSLL,SSLL,LSLS,,SSLL,LSLL,LSLL,,NNNNNN
ramal_complete,SSLL,SSLL,LSL,,SSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,SSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,SSLL,LSLL,LSL,,LSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,SSLL,LSLL,LSL,,SSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,SSLL,LSLL,SSL,,LSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,SSLL,SSLL,LSL,,SSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,SSLL,SSLL,LSL,,SSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,SSLL,LSLL,SSL,,LSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,SSLL,LSLL,SSL,,LSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,SSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,SSLL,LSLL,LSL,,LSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,SSLL,LSL,,LSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,SSLL,LSLL,LSL,,SSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,SSLL,SSLL,SSL,,SSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,LSLL,SSL,,LSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,SSLL,LSL,,SSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,SSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,LSLL,SSL,,LSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,SSLL,SSLL,SSL,,LSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,SSLL,LSLL,LSL,,LSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,SSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,SSLL,LSL,,LSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,LSLL,SSL,,SSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,SSLL,LSL,,SSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,SSLL,LSL,,SSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,SSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,SSLL,LSLL,LSL,,LSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,SSLL,SSL,,SSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,SSLL,SSL,,LSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,LSLL,SSL,,LSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,SSLL,LSL,,LSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,SSLL,LSL,,SSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,LSLL,SSLL,,NNNNNNN
ramal_complete,LSLL,SSLL,LSL,,LSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,SSLL,LSLL,SSL,,SSLL,SSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,SSLL,SSL,,LSLL,LSLL,LSLL,,NNNNNNN
ramal_complete,LSLL,SSLL,SSL,,LSLL,LSLL,LSLL,,NNNNNNN
