meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
rajaz_partial,SLSL,SLSL,,,LLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLS,,,SLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,SLSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,LLL,,,LLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,LLS,,,LLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,SLL,,,SLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,SLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,LSSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,SLSL,SLL,,,NNNNNNNNNNNNNNN
rajaz_partial,LLSL,SLL,,,LLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,LLSL,,,LSSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLS,,,LSSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
hazaj_complete,SLSL,SLL,,,SLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,SLL,,,SLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LSSL,LLS,,,LLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSS,,,LLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLL,,,LSSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,LSSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,SLSL,,,LLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLL,,,LLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,SLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,LLSL,,,LSSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLS,,,SLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,LLS,,,LLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,SLS,,,LLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,SLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,SLL,,,LLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LSSL,LLL,,,LSSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLL,,,LSSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,LSSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLL,,,LLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,SLSS,,,LLSL,SLL,,,NNNNNNNNNNNNNNN
rajaz_partial,SLSL,LLS,,,LLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LSSL,SLS,,,LLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LSSL,LLL,,,LLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,SLS,,,LLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,SLS,,,SLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,LSSL,,,LLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,SLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,SLL,,,SLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,SLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLS,,,LLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,LLL,,,LSSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,LLS,,,SLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,SLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLL,,,SLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,SLL,,,LLSL,SLL,,,NNNNNNNNNNNNNNNN
hazaj_complete,SLSL,SLSL,,,SLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLL,,,SLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLL,,,LLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,SLL,,,LSSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,SLL,,,SLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LSSL,SLL,,,SLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LSSL,LLS,,,SLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,LSSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLS,,,SLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,LLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLL,,,SLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,SLSL,,,LSSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLL,,,LLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,LLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLL,,,LSSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,LSSL,,,LLSL,SLL,,,NNNNNNNNNNNNNNN
rajaz_partial,LLSL,LLS,,,SLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,LLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,LLS,,,LLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,LLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLS,,,LLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,LLL,,,LSSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,SLSL,SLSL,,,NNNNNNNNNNNNNN
hazaj_complete,SLSL,SLL,,,SLSL,SLSL,,,NNNNNNNNNNNNNNN
rajaz_partial,SLSL,SLS,,,LSSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,LLL,,,SLSL,LLL,,,NNNNNNNNNNNNNNNN
hazaj_complete,SLSL,SLL,,,SLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,SLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,SLSL,,,LSSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,SLS,,,LLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LSSL,SLSL,,,LLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,SLSL,,,LLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,SLS,,,LLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLS,,,SLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LSSL,SLS,,,LLSL,SLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,SLSL,LLL,,,LLSL,LLL,,,NNNNNNNNNNNNNNNN
rajaz_partial,LSSL,LLSL,,,LSSL,LLSL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,SSLL,SSL,,,NNNNNNNNNNNNNNN
