meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,SSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,SSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,SSLL,SLSL,,,SSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,SSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,SSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,SSLL,SLSL,,,SSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,SSLL,SLSL,,,SSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,SSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,SSLL,SLSL,,,SSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,SSLL,SLSL,,,SSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,SSLL,SLSL,,,SSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,SSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,LSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,SSLL,SLSL,,,NNNNNNNNNNNNNN
khafif_partial,LSLL,SLSL,,,SSLL,SLSL,,,NNNNNNNNNNNNNN
