meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
sarii_complete,SLSL,LLSL,LSL,,LLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LSSL,LSLA,,SLSL,LLSL,LSLA,,NNNNNN
sarii_complete,LLSL,LSSL,LSL,,SLSL,LLSL,LSLA,,NNNNNNN
sarii_complete,SLSL,LLSL,LSL,,SLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,SLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSLA,,LLSL,LSSL,LSLA,,NNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LSSL,LSLA,,NNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LSSL,LLSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSLA,,SLSL,LSSL,LSLA,,NNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LSSL,LSLA,,NNNNNNN
sarii_complete,SLSL,LLSL,LSL,,SLSL,LLSL,LSLA,,NNNNNNN
sarii_complete,LLSL,LSSL,LSLA,,SLSL,LLSL,LSLA,,NNNNNN
sarii_complete,SLSL,LSSL,LSL,,LSSL,SLSL,LSLA,,NNNNNNN
sarii_complete,SLSL,LLSL,LSL,,SLSL,SLSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LLSL,LSLA,,NNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LSSL,LSSL,LSL,,SLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,LLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,SLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,SLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,SLSL,SLSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,SLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSLA,,SLSL,LSSL,LSLA,,NNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LLSL,LSLA,,NNNNNNN
