meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
rajaz_machtour,LLSL,LLSL,LLL,,,,,,NNNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,LLSL,LLL,,,,,,NNNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,LLL,,,,,,NNNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,SLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,LSSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,LSSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LSSL,LLL,,,,,,NNNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,SLL,,,,,,NNNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,LSSL,SLL,,,,,,NNNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,LLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
