meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
rajaz_complete,LLSL,SLSL,LLSL,,LLSL,SLSL,SLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,LSSL,,SLSL,SLSL,SLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,LLSL,,SLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,LLSL,,SLSL,SLSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LLSL,LLSL,,SLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,LSSL,LLSL,SLSL,,LSSL,LLSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LLSL,LLSL,,LSSL,LSSL,LSSL,,NNNNNN
rajaz_complete,SLSL,LLSL,LLSL,,SLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,LLSL,LSSL,SLSL,,SLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LSSL,SLSL,,SLSL,LSSL,LLSL,,NNNNNN
rajaz_complete,LSSL,LLSL,LLSL,,LSSL,LSSL,LLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,LLSL,,SLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,SLSL,,SLSL,LSSL,LSSL,,NNNNNN
rajaz_complete,LLSL,LLSL,LLSL,,LLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,SLSL,,LLSL,LLSL,SLSL,,NNNNNN
rajaz_complete,LLSL,LSSL,LLSL,,LLSL,LLSL,LSSL,,NNNNNN
rajaz_complete,LLSL,LLSL,SLSL,,SLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,SLSL,,LSSL,LSSL,LSSL,,NNNNNN
rajaz_complete,LLSL,LSSL,LSSL,,LLSL,LSSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LLSL,LLSL,,SLSL,SLSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LSSL,LLSL,,SLSL,LSSL,LLSL,,NNNNNN
rajaz_complete,LLSL,LSSL,LLSL,,SLSL,SLSL,SLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,SLSL,,LLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,LLSL,,LLSL,LLSL,SLSL,,NNNNNN
rajaz_complete,SLSL,LSSL,LLSL,,SLSL,LLSL,LSSL,,NNNNNN
