meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
modarii_complete,SLLS,LSLL,,,SLLS,LSLL,,,NNNNNNNNNNNNNN
modarii_complete,SLLS,LSLL,,,SLLS,LSLL,,,NNNNNNNNNNNNNN
modarii_complete,SLLS,LSLL,,,SLLS,LSLL,,,NNNNNNNNNNNNNN
modarii_complete,SLLS,LSLL,,,SLLS,LSLL,,,NNNNNNNNNNNNNN
modarii_complete,SLLS,LSLL,,,SLLS,LSLL,,,NNNNNNNNNNNNNN
modarii_complete,SLLS,LSLL,,,SLLS,LSLL,,,NNNNNNNNNNNNNN
modarii_complete,SLLS,LSLL,,,SLLS,LSLL,,,NNNNNNNNNNNNNN
modarii_complete,SLLS,LSLL,,,SLLS,LSLL,,,NNNNNNNNNNNNNN
modarii_complete,SLLS,LSLL,,,SLLS,LSLL,,,NNNNNNNNNNNNNN
modarii_complete,SLLS,LSLL,,,SLLS,LSLL,,,NNNNNNNNNNNNNN
modarii_complete,SLLS,LSLL,,,SLLS,LSLL,,,NNNNNNNNNNNNNN
modarii_complete,SLLS,LSLL,,,SLLS,LSLL,,,NNNNNNNNNNNNNN
modarii_complete,SLLS,LSLL,,,SLLS,LSLL,,,NNNNNNNNNNNNNN
modarii_complete,SLLS,LSLL,,,SLLS,LSLL,,,NNNNNNNNNNNNNN
