meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
ramal_partial,SSLL,LSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,LSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,SSLL,,,SSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,LSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,SSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,LSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,SSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,SSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,LSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,LSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,LSLL,SSLL,,,SSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,LSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,SSLL,,,SSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,SSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,SSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,SSLL,,,SSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,SSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
