meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
monsarih_complete,SLSL,LSLS,LSSS,,LSSL,LLLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LSSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,LLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,LLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,LLSL,LLLS,LSSL,,NNNNNN
monsarih_complete,LSSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LSSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LLLS,LLSL,,LLSL,SLLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,LLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LSSL,LSLS,LSSL,,LLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LSSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LSSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LSSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LSSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LSSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LSSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,LLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,LLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LSSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LSSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LSSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,LLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,SLSL,LSLS,LSSL,,NNNNNN
