meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
rajaz_machtour,LLSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,LLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LSSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LSSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,SLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,SLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,LLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,LSSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,SLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,LSSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,SLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,LSSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,LSSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,LSSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,SLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,LSSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,LSSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,SLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,SLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LSSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,LSSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LSSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LSSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LSSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LSSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LSSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LSSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,LSSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LSSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,LSSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,LLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,LLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,SLSL,LLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LLSL,SLSL,SLSL,,,,,,NNNNNNNNNNNNNNNNNN
rajaz_machtour,LSSL,SLSL,LLSL,,,,,,NNNNNNNNNNNNNNNNNN
