meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
rajaz_complete,SLSL,SLSL,SLSS,,LLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LSSL,LLSS,,LLSL,LSSL,SLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,LLSS,,LLSL,LSSL,SLSL,,NNNNNN
rajaz_complete,SLSL,LLSL,SLSS,,SLSL,SLSL,SLSL,,NNNNNN
rajaz_complete,SLSL,LSSL,SLSS,,SLSL,LSSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LSSL,LLSS,,LSSL,LSSL,SLSL,,NNNNNN
rajaz_complete,LSSL,LLSL,LLSS,,SLSL,LSSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LSSL,LLSS,,SLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LLSL,LSSS,,SLSL,LLSL,SLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,LLSL,,LSSL,LSSL,SLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,SLSS,,LSSL,LLSL,LLSL,,NNNNNN
rajaz_complete,SLSL,SLSL,LLSS,,SLSL,SLSL,LLSL,,NNNNNN
