meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
rajaz_complete,LLSL,LLSL,LLSL,,LLSL,LLSL,LLSL,,NNNNNN
kamil_complete,SSLSL,LLSL,LLSL,,SSLSL,LLSL,LLSL,,NNNN
kamil_complete,LLSL,LLSL,LLSL,,SSLSL,LLSL,LLSL,,NNNNN
kamil_complete,LLSL,LLSL,SSLSL,,SSLSL,LLSL,LLSL,,NNNN
kamil_complete,LLSL,LLSL,SSLSL,,LLSL,SSLSL,SSLSL,,NNN
kamil_complete,LLSL,SSLSL,LLSL,,LLSL,SSLSL,LLSL,,NNNN
kamil_complete,LLSL,LLSL,LLSL,,LLSL,SSLSL,SSLSL,,NNNN
kamil_complete,LLSL,LLSL,SSLSL,,LLSL,SSLSL,LLSL,,NNNN
kamil_complete,LLSL,SSLSL,LLSL,,LLSL,SSLSL,LLSL,,NNNN
kamil_complete,SSLSL,SSLSL,SSLSL,,SSLSL,SSLSL,LLSL,,N
kamil_complete,SSLSL,SSLSL,LLSL,,LLSL,SSLSL,SSLSL,,NN
kamil_complete,SSLSL,SSLSL,LLSL,,LLSL,SSLSL,LLSL,,NNN
kamil_complete,SSLSL,LLSL,SSLSL,,SSLSL,SSLSL,SSLSL,,N
kamil_complete,LLSL,LLSL,LLSL,,LLSL,LLSL,SSLSL,,NNNNN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,LLSL,SSLSL,,NNN
kamil_complete,LLSL,SSLSL,SSLSL,,LLSL,LLSL,LLSL,,NNNN
kamil_complete,SSLSL,LLSL,SSLSL,,LLSL,LLSL,LLSL,,NNNN
kamil_complete,SSLSL,SSLSL,SSLSL,,SSLSL,SSLSL,LLSL,,N
kamil_complete,SSLSL,LLSL,SSLSL,,LLSL,LLSL,LLSL,,NNNN
kamil_complete,SSLSL,LLSL,SSLSL,,LLSL,LLSL,LLSL,,NNNN
kamil_complete,SSLSL,SSLSL,SSLSL,,SSLSL,SSLSL,LLSL,,N
