meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,SSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,SSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
