meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
ramal_partial,LSLL,LSLL,,,LSLL,SSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,SSLL,SSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,SSLL,SSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,SSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,SSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,SSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,SSLL,,,LSLL,SSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,SSLL,,,SSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,SSLL,,,NNNNNNNNNNNNNN
ramal_partial,SSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,SSLL,SSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,LSLL,,,SSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,SSLL,LSLL,,,SSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,SSLL,,,LSLL,SSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,SSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,SSLL,LSLL,,,SSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,SSLS,,,LSLL,SSLL,,,NNNNNNNNNNNNNN
ramal_partial,SSLL,LSLS,,,LSLL,SSLL,,,NNNNNNNNNNNNNN
ramal_partial,SSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,SSLL,,,SSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLS,,,SSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,SSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,SSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,SSLL,,,SSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,SSLL,,,NNNNNNNNNNNNNN
ramal_partial,SSLL,SSLL,,,LSLL,SSLL,,,NNNNNNNNNNNNNN
ramal_partial,SSLL,SSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,SSLL,,,LSLL,SSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,SSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,SSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,SSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,SSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,SSLL,,,NNNNNNNNNNNNNN
