meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,SLLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
