meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
ramal_complete,LSLL,SSLL,LSLA,,LSLL,LSLL,LSLA,,NNNNNN
ramal_complete,LSLL,SSLL,LSL,,SSLL,SSLL,LSLA,,NNNNNNN
ramal_complete,SSLL,LSLL,LSL,,SSLL,LSLL,SSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,SSL,,SSLL,LSLL,LSLA,,NNNNNNN
ramal_complete,SSLL,LSLL,LSL,,LSLL,LSLL,LSLA,,NNNNNNN
ramal_complete,SSLL,LSLL,LSL,,SSLL,LSLL,LSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,SSL,,SSLL,LSLL,SSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,SSLL,SSLL,LSLA,,NNNNNNN
ramal_complete,SSLL,SSLL,SSL,,LSLL,LSLL,SSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,SSL,,LSLL,SSLL,LSLA,,NNNNNNN
ramal_complete,SSLL,LSLL,LSL,,LSLL,LSLL,LSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,SSL,,LSLL,LSLL,SSLA,,NNNNNNN
ramal_complete,LSLL,SSLL,SSL,,LSLL,SSLL,LSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,LSLL,SSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,SSLL,LSLA,,NNNNNNN
ramal_complete,LSLL,SSLL,SSL,,LSLL,LSLL,LSLA,,NNNNNNN
ramal_complete,LSLL,SSLL,LSL,,LSLL,LSLL,LSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,LSLL,LSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,SSLL,SSLL,LSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,LSLL,SSLA,,NNNNNNN
ramal_complete,LSLL,SSLL,LSL,,LSLL,SSLL,SSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,SSLL,,SSLL,LSLL,SSLA,,NNNNNN
ramal_complete,LSLL,LSLL,LSL,,SSLL,SSLL,SSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,SSL,,LSLL,SSLL,LSLA,,NNNNNNN
ramal_complete,LSLL,SSLL,SSL,,LSLL,SSLL,LSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,SSLL,LSLL,SSLA,,NNNNNNN
ramal_complete,LSLL,SSLL,LSL,,LSLL,LSLL,LSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,LSLL,LSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,LSLL,LSLA,,NNNNNNN
ramal_complete,SSLL,LSLL,LSL,,LSLL,LSLL,SSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,LSLL,LSLA,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,SSLL,LSLL,LSLA,,NNNNNNN
