meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
kamil_partial,LLSL,SSLSL,,,LLSL,SSLSLL,,,NNNNNNNNNNN
kamil_partial,LLSL,LLSL,,,SSLSL,LLSLL,,,NNNNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,LLSL,LLSLL,,,NNNNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,LLSL,SSLSLL,,,NNNNNNNNNNN
kamil_partial,SSLSL,SSLSL,,,SSLSL,LLSLL,,,NNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,SSLSL,LLSLL,,,NNNNNNNNNNN
kamil_partial,SSLSL,SSLSL,,,SSLSL,SSLSLL,,,NNNNNNNNN
kamil_partial,LLSL,LLSL,,,LLSL,LLSLL,,,NNNNNNNNNNNNN
kamil_partial,SSLSL,SSLSL,,,LLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,SSLSL,SSLSL,,,LLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,SSLSL,SSLSL,,,SSLSL,SSLSLL,,,NNNNNNNNN
kamil_partial,SSLSL,LLSL,,,LLSL,SSLSLL,,,NNNNNNNNNNN
kamil_partial,SSLSL,SSLSL,,,LLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,SSLSL,LLSL,,,SSLSL,LLSLL,,,NNNNNNNNNNN
kamil_partial,LLSL,LLSL,,,SSLSL,LLSLL,,,NNNNNNNNNNNN
kamil_partial,SSLSL,SSLSLL,,,LLSL,SSLSLL,,,NNNNNNNNN
kamil_partial,SSLSL,SSLSL,,,SSLSL,SSLSLL,,,NNNNNNNNN
kamil_partial,SSLSL,LLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,LLSL,LLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNNN
kamil_partial,SSLSL,LLSL,,,SSLSL,LLSLL,,,NNNNNNNNNNN
kamil_partial,SSLSL,LLSL,,,LLSL,SSLSLL,,,NNNNNNNNNNN
kamil_partial,SSLSL,LLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,LLSL,LLSL,,,LLSL,SSLSLL,,,NNNNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,LLSL,SSLSLL,,,NNNNNNNNNNN
kamil_partial,LLSL,LLSL,,,LLSL,SSLSLL,,,NNNNNNNNNNNN
kamil_partial,SSLSL,LLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,LLSL,LLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNNN
kamil_partial,SSLSL,LLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,SSLSL,SSLSL,,,SSLSL,SSLSLL,,,NNNNNNNNN
kamil_partial,SSLSL,SSLSL,,,LLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,LLSL,LLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,LLSL,LLSLL,,,LLSL,LLSLL,,,NNNNNNNNNNNN
kamil_partial,SSLSL,SSLSL,,,LLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,SSLSL,SSLSL,,,SSLSL,SSLSLL,,,NNNNNNNNN
kamil_partial,LLSL,LLSL,,,LLSL,LLSLL,,,NNNNNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,LLSL,SSLSLL,,,NNNNNNNNNNN
kamil_partial,LLSL,LLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,SSLSL,LLSL,,,LLSL,SSLSLL,,,NNNNNNNNNNN
kamil_partial,LLSL,LLSL,,,LLSL,LLSLL,,,NNNNNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,SSLSL,LLSLL,,,NNNNNNNNNNN
kamil_partial,LLSL,LLSL,,,SSLSL,SSLSLL,,,NNNNNNNNNNN
kamil_partial,LLSL,LLSL,,,LLSL,LLSLL,,,NNNNNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,LLSL,LLSLL,,,NNNNNNNNNNNN
kamil_partial,SSLSL,SSLSL,,,SSLSL,SSLSLL,,,NNNNNNNNN
kamil_partial,LLSL,LLSL,,,LLSL,SSLSLL,,,NNNNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,LLSL,SSLSLL,,,NNNNNNNNNNN
kamil_partial,LLSL,LLSL,,,LLSL,LLSLL,,,NNNNNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,SSLSL,LLSLL,,,NNNNNNNNNNN
kamil_partial,LLSL,LLSL,,,LLSL,SSLSLL,,,NNNNNNNNNNNN
kamil_partial,SSLSL,LLSL,,,LLSL,SSLSLL,,,NNNNNNNNNNN
kamil_partial,LLSL,LLSL,,,SSLSL,LLSLL,,,NNNNNNNNNNNN
kamil_partial,SSLSL,LLSL,,,SSLSL,LLSLL,,,NNNNNNNNNNN
kamil_partial,SSLSL,LLSL,,,SSLSL,LLSLL,,,NNNNNNNNNNN
