meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
madid_complete,LSLL,LSL,SSL,,LSLL,LSL,SSL,,NNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,LSLL,LSL,SSL,,NNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,LSLL,LSL,SSL,,NNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,LSLL,LSL,SSL,,NNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,LSLL,LSL,SSL,,NNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,SSLL,LSL,SSL,,NNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,LSLL,LSL,SSL,,NNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,LSLL,LSL,SSL,,NNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,LSLL,LSL,SSL,,NNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,LSLL,LSL,SSL,,NNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,SSLL,LSL,SSL,,NNNNNNNNNN
