meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
monsarih_complete,LLSL,LSLS,LSSL,,LSSL,LLLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,LSSL,LLLS,LSSL,,NNNNNN
monsarih_complete,LSSL,LLLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,LLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,LLSL,LLLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LSLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LLLS,LSSL,,LSSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,LLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,LLSL,LSLS,LSSL,,LLSL,LSLS,LSSL,,NNNNNN
monsarih_complete,SLSL,LLLS,LSSL,,SLSL,LLLS,LSSL,,NNNNNN
