meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
sarii_complete,LLSL,LSSL,LSL,,SLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LSSL,SLSL,LSL,,LLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,SLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,LSSL,LLSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,SLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LSSL,LLSL,LSL,,LSSL,LSSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,SLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LSSL,LSSL,LSL,,LLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,SLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LSSL,LLSL,LSL,,LLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,LSSL,LLSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,LLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,LLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LSSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LSSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LSSL,LLSL,LSL,,LSSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,LSSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,LLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LSSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,LSSL,LLSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,SLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LSSL,LSL,,NNNNNNNN
