meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
ramal_partial,LSLL,LSLLA,,,SSLL,LSLLA,,,NNNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,LSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,LSLL,SSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,LSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,LSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,SSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,LSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,SSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,LSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,LSLL,LSL,SSS,,LSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,SSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,SSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,LSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,LSLL,SSL,LL,,NNNNNNNNNNN
madid_complete,LSLL,SSL,SSL,,SSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,SSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,SSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,LSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,SSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,LSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,LSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,LSLL,SSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,SSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,LSLL,SSL,LL,,NNNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,LSLL,SSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,LSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,SSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,LSLL,LSL,SSL,,SSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,SSLL,LSL,LL,,NNNNNNNNNNN
madid_complete,SSLL,LSL,SSL,,SSLL,LSL,LL,,NNNNNNNNNNN
