meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
sarii_complete,LLSL,LSSL,LL,,SLSL,LLSL,LL,,NNNNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,LSSL,LSSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,SLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LSSL,LSL,,SLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LSSL,LL,,NNNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,LLSL,LLSL,LL,,NNNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LLSL,LL,,NNNNNNNNN
