meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
bassit_mokhlaa,LSSL,LSL,SLL,,LSSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LSSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,LSSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LSSL,LSL,SLL,,LSSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,LSSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,LSSL,LSL,SLL,,NNNNNNNNNN
