meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
rajaz_complete,SLSL,LSSL,SLSL,,LSSL,LSSL,LSSL,,NNNNNN
rajaz_complete,LSSL,LLSL,LLSL,,LSSL,LSSL,SLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,SLSL,,SLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LLSL,LLSL,,LSSL,LLSL,SLSL,,NNNNNN
rajaz_complete,SLSL,LLSL,LLSL,,SLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,LSSL,LSSL,LLSL,,SLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LSSL,SLSL,,SLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,LSSL,LLSL,SLSL,,LLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LSSL,LLSL,,LLSL,LSSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LLSL,SLSL,,LLSL,SLSL,LLSL,,NNNNNN
rajaz_complete,LSSL,LSSL,LLSL,,SLSL,SSSL,SLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,SLSL,,LLSL,SLSL,LLSL,,NNNNNN
rajaz_complete,LLSL,SSSL,LLSL,,SLSL,SSSL,SLSL,,NNNNNN
rajaz_complete,LSSL,LLSL,LLSL,,SLSL,LSSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LSSL,LLSL,,LLSL,LLSL,LSSL,,NNNNNN
rajaz_complete,LSSL,LLSL,LLSL,,SLSL,LSSL,LLSL,,NNNNNN
rajaz_complete,LSSL,LLSL,LSSL,,LLSL,LLSL,LSSL,,NNNNNN
rajaz_complete,SLSL,LSSL,LLSL,,LLSL,LSSL,SLSL,,NNNNNN
rajaz_complete,SLSL,LSSL,LSSL,,SLSL,LSSL,LSSL,,NNNNNN
rajaz_complete,LLSL,LLSL,SLSL,,LSSL,LLSL,LLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,LLSL,,SLSL,LSSL,LSSL,,NNNNNN
rajaz_complete,LLSL,LSSL,LLSL,,LSSL,LLSL,LLSL,,NNNNNN
rajaz_complete,LSSL,LLSL,LLSL,,SLSL,LSSL,SLSL,,NNNNNN
rajaz_complete,LLSL,LSSL,LLSL,,SLSL,LSSL,SLSL,,NNNNNN
rajaz_complete,LLSL,LLSL,LLSL,,SLSL,LLSL,SLSL,,NNNNNN
rajaz_complete,LLSL,LSSL,LLSL,,LLSL,LSSL,SLSL,,NNNNNN
rajaz_complete,LLSL,LSSL,LLSL,,LSSL,LSSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LSSL,LLSL,,LLSL,LLSL,LLSL,,NNNNNN
rajaz_complete,SLSL,LLSL,LLSL,,SLSL,LLSL,LSSL,,NNNNNN
rajaz_complete,LLSL,LLSL,SLSL,,SLSL,LLSL,LSSL,,NNNNNN
