meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
hazaj_complete,SLSL,SLSL,,,SLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,SLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,SLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,LSSL,,,LSSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,LSSL,,,LLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,SLSL,,,LSSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,LLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,SSSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,SLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,SLSL,,,LLSL,SLL,,,NNNNNNNNNNNNNNN
rajaz_partial,LSSL,LLSL,,,LSSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,LSSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,SLSL,,,LLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LSSL,,,LLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,LLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,SLSL,,,LLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,LSSL,,,LSSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,LSSL,,,LSSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,LSSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,SLSL,,,LSSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,SLSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,LLSL,,,LSSL,SLSL,,,NNNNNNNNNNNNNN
hazaj_complete,SLSL,SLL,,,SLSL,SLSL,,,NNNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,LLSL,,,LSSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,LLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LSSL,,,LSSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LSSL,,,LLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,LLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LSSL,,,LLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,LSSL,,,LLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,SLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,LLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,SLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,LLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,LLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LSSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
hazaj_complete,SLSL,SLSL,,,SLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LSSL,,,SLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LSSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LSSL,,,LSSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,SLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,SLSL,,,LSSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,SLSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,SLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,LSSL,,,LSSL,SLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,LLSL,LSSL,,,NNNNNNNNNNNNNN
