meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
rajaz_complete,LLSL,LLSL,SLL,,SLSL,LLSL,SLL,,NNNNNNNN
rajaz_complete,SLSL,LLSL,SLL,,LSSL,LLSL,SLL,,NNNNNNNN
rajaz_complete,LSSL,LLSL,SLL,,LLSL,LSSL,SLL,,NNNNNNNN
rajaz_complete,SLSL,LLSL,LLL,,LLSL,LLSL,SLL,,NNNNNNNN
rajaz_complete,LLSL,SLSL,SLL,,LLSL,SLSL,SLL,,NNNNNNNN
rajaz_complete,LSSL,LLSL,LLL,,SLSL,LLSL,SLL,,NNNNNNNN
rajaz_complete,LSSL,LSSL,LLL,,LLSL,SLSL,LLL,,NNNNNNNN
rajaz_complete,SLSL,LSSL,LLL,,SLSL,LSSL,LLL,,NNNNNNNN
rajaz_complete,LLSL,LLSL,SLL,,SLSL,LSSL,SLL,,NNNNNNNN
rajaz_complete,LLSL,LLSL,SLL,,LLSL,LSSL,SLL,,NNNNNNNN
rajaz_complete,SLSL,SLSL,SLL,,SLSL,LSSL,SLL,,NNNNNNNN
rajaz_complete,LSSL,LSSL,SLL,,SLSL,LLSL,SLL,,NNNNNNNN
rajaz_complete,LLSL,LLSL,LLL,,LLSL,LLSL,SLL,,NNNNNNNN
rajaz_complete,LLSL,SLSL,LLL,,LSSL,LLSL,SLL,,NNNNNNNN
rajaz_complete,LLSL,LLSL,SLL,,SLSL,LLSL,SLL,,NNNNNNNN
rajaz_complete,LLSL,LLSL,LLL,,SLSL,LLSL,SLL,,NNNNNNNN
rajaz_complete,SLSL,LLSL,LLL,,LLSL,LLSL,LLL,,NNNNNNNN
rajaz_complete,LLSL,LLSL,LLL,,SLSL,SLSL,SLL,,NNNNNNNN
rajaz_complete,LLSL,SLSL,SLL,,SLSL,LLSL,SLL,,NNNNNNNN
rajaz_complete,LLSL,LSSL,SLL,,LLSL,LLSL,SLL,,NNNNNNNN
rajaz_complete,LSSL,SLSL,SLL,,LLSL,LSSL,SLL,,NNNNNNNN
