meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,SSLL,LSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,SSLL,LSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,SSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,SSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,SSLL,SSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,SSLL,LSL,,,SSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,SSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,SSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,SSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
ramal_partial,SSLL,LSL,,,SSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,SSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,SSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,SSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,SSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,SSLL,SSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSS,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,SSLL,SSL,,,SSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,SSLL,SSL,,,LSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,SSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,SSLL,LSL,,,SSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,SSLL,LSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,SSLL,SSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,SSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
ramal_partial,LSLL,LSL,,,LSLL,LSL,,,NNNNNNNNNNNNNNNN
