meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
rajaz_complete,LLSL,LLSL,LLLA,,LSSL,LLSL,SLLA,,NNNNNN
rajaz_complete,LLSL,LLSL,LLLA,,LSSL,LLSL,LLLA,,NNNNNN
sarii_complete,LLSL,SLSL,LSS,,LSSL,LSSL,LSLA,,NNNNNNN
rajaz_complete,LLSL,LSSL,LLLA,,LLSL,SLSL,LLLA,,NNNNNN
rajaz_complete,LSSL,LLSL,LLLA,,LSSL,LSSL,LLLA,,NNNNNN
rajaz_complete,LLSL,SLSL,LLLA,,SLSL,LSSL,LLLA,,NNNNNN
rajaz_complete,LSSL,LSSL,SLLA,,LLSL,SLSL,LLLA,,NNNNNN
rajaz_complete,SLSL,LSSL,LLLA,,LLSL,LSSL,LLLA,,NNNNNN
rajaz_complete,LLSL,SSSL,SLLA,,LLSL,LLSL,SLLA,,NNNNNN
rajaz_complete,SLSL,LLSL,LLLA,,LSSL,LLSL,LLLA,,NNNNNN
rajaz_complete,LLSL,LSSL,LLLA,,LLSL,LSSL,LLLA,,NNNNNN
rajaz_complete,SLSL,LLSL,LLLA,,SLSL,SLSL,LLLA,,NNNNNN
rajaz_complete,LLSL,LLSL,SLLA,,LLSL,SLSL,LLLA,,NNNNNN
rajaz_complete,SLSL,LSSL,LLLA,,LLSL,LSSL,LLLA,,NNNNNN
rajaz_complete,SLSL,LLSL,LLLA,,LLSL,SLSL,LLLA,,NNNNNN
