meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
ramal_complete,LSLL,SSLL,LSL,,SSLL,LSLL,LSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,LSLS,,SSLL,SSLL,SSL,,NNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,LSLL,LSL,,NNNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,SSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,SSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,SSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,SSL,,SSLL,SSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,LSL,,LSLL,LSLL,LSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,LSL,,LSLL,LSLL,LSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,LSL,,LSLL,SSLL,LSL,,NNNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,SSLL,LSL,,NNNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,SSLL,LSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,LSLS,,SSLL,SSLL,SSL,,NNNNNNN
ramal_complete,LSLL,SSLL,SSL,,LSLL,SSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,LSLL,LSL,,SSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,LSL,,LSLL,SSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,LSLL,LSL,,LSLL,SSLL,LSL,,NNNNNNNN
ramal_complete,LSLL,LSLL,SSL,,LSLL,LSLL,LSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,LSL,,LSLL,LSLL,LSL,,NNNNNNNN
