meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
rajaz_partial,LLSL,LLSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,SLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,LLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,SLSL,,,LLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,LLSL,LSSL,,,NNNNNNNNNNNNNN
rajaz_partial,LSSL,LLSL,,,SLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,LSSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,LLSL,LLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
rajaz_partial,SLSL,LLSL,,,LLSL,LLSL,,,NNNNNNNNNNNNNN
