meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,SSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,SSL,LSLA,,,SSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,LSL,LSLA,,,LSL,LSL,,,NNNNNNNNNNNNNNNNN
motadaarak_machtour,SSL,LSLA,,,SSL,LSL,,,NNNNNNNNNNNNNNNNN
