meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
ramal_complete,LSLL,SSLL,SSS,,SSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,SSL,,LSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,LSLL,SSL,,SSLL,SSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,SSL,,LSLL,SSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,SSS,,SSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,SSLL,SSLL,SSL,,LSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,SSLL,SSLL,SSL,,SSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,SSLL,SSLL,LSL,,LSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,SSLL,SSLL,SSL,,SSLL,SSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,SSS,,SSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,SSL,,SSLL,SSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,SSL,,LSLL,SSLL,SSL,,NNNNNNNN
ramal_complete,SSLL,LSLL,SSL,,SSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,LSLL,SSL,,LSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,SSS,,SSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,SSLL,LSLL,SSL,,SSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,LSLL,SSL,,LSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,LSLL,SSL,,SSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,SSLL,SSLL,SSL,,SSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,SSS,,SSLL,LSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,SSLL,SSL,,LSLL,SSLL,SSL,,NNNNNNNN
ramal_complete,LSLL,LSLL,SSL,,LSLL,LSLL,SSL,,NNNNNNNN
