meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLL,,,LSLL,LSLL,,,NNNNNNNNNNNNNN
