meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
kamil_partial,LLSL,LLSL,,,LLSL,LLSLL,,,NNNNNNNNNNNNN
kamil_partial,SSLSL,SSLSL,,,LLSL,SSLSLL,,,NNNNNNNNNN
kamil_partial,LLSL,SSLSL,,,SSLSL,LLSLL,,,NNNNNNNNNNN
motaqaarib_complete,SLS,SLL,SLS,SLL,SLL,SLL,SLL,SLL,NNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLL,SLL,SLS,SLL,SLL,NNNNNN
motaqaarib_complete,SLS,SLL,SLS,SLL,SLL,SLL,SLL,SLL,NNNNNN
motaqaarib_complete,SLL,SLL,SLL,SL,SLS,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLS,SLS,SLL,SLL,SLL,NNNNNN
motaqaarib_complete,SLS,SLL,SLL,SLL,SLS,SLL,SLL,SLL,NNNNNN
motaqaarib_complete,SLS,SLL,SLL,SL,SLS,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLS,SLL,SLL,SLL,SLL,NNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLL,SLS,SLL,SLL,SLL,NNNNNN
motaqaarib_complete,SLL,SLS,SLL,SLS,SLS,SLS,SLL,SLL,NNNNNN
motaqaarib_complete,SLL,SLL,SLL,SL,SLL,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLL,SLS,SLL,SL,SLS,SLL,SLS,SLL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SL,SLL,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLL,SLS,SLL,SLS,SLL,NNNNNN
motaqaarib_complete,SLL,SLL,SLS,SLL,SLS,SLL,SLL,SLL,NNNNNN
motaqaarib_complete,SLS,SLS,SLL,SL,SLL,SLS,SLL,SLL,NNNNNNN
motaqaarib_complete,SLS,SLS,SLL,SL,SLL,SLS,SLL,SLL,NNNNNNN
motaqaarib_complete,SLL,SLS,SLS,SLL,SLL,SLS,SLS,SLL,NNNNNN
motaqaarib_complete,SLS,SLL,SLL,SLS,SLL,SLS,SLL,SLL,NNNNNN
motaqaarib_complete,SLS,SLL,SLS,SLL,SLL,SLL,SLL,SLL,NNNNNN
motaqaarib_complete,SLL,SLL,SLL,SL,SLS,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLS,SLL,SLS,SLL,SLL,NNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLS,SLL,SLS,SLL,SLL,NNNNNN
motaqaarib_complete,SLL,SLL,SLL,SL,SLS,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLL,SLS,SLL,SLS,SLS,SLS,SLL,SLL,NNNNNN
motaqaarib_complete,SLL,SLL,SLL,SLS,SLS,SLL,SLL,SLL,NNNNNN
motaqaarib_complete,SLL,SLL,SLL,SL,SLL,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLL,SLS,SLL,SLS,SLS,SLL,SLS,SLL,NNNNNN
motaqaarib_complete,SLL,SLL,SLL,SL,SLL,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLS,SLL,SLL,SLS,SLS,SLL,SLL,SLL,NNNNNN
motaqaarib_complete,SLL,SLS,SLL,SLS,SLL,SLL,SLL,SLL,NNNNNN
