meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
bassit_mokhlaa,LSSL,LSL,SLS,,LSSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,SSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,SSL,SLL,,LSSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,SSL,SLS,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,LLL,,LLSL,LSL,LLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,SSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LSSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_partial,LSSL,SSL,LLSL,,SLSL,LSL,SLL,,NNNNNNNNN
bassit_mokhlaa,SLSL,LSL,LLL,,SLSL,SSL,LLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,SSL,LLL,,SLSL,SSL,LLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLS,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,LSL,SLS,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_partial,LLSL,LSL,LSSL,,LSSL,LSL,SLL,,NNNNNNNNN
bassit_partial,LSSL,LSL,LSSL,,LSSL,LSL,LLL,,NNNNNNNNN
bassit_partial,LLSL,LSL,SLSS,,LSSL,LSL,SLL,,NNNNNNNNN
bassit_mokhlaa,LLSL,LLL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_partial,LLSL,LSL,LLSL,,LSSL,LSL,SLL,,NNNNNNNNN
bassit_mokhlaa,LLSL,LSL,LLL,,LLSL,SSL,LLL,,NNNNNNNNNN
bassit_partial,LLSL,LSL,SLSL,,SLSL,LSL,SLL,,NNNNNNNNN
bassit_partial,LLSL,SSL,LLSL,,LLSL,LSL,SLL,,NNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_partial,LLSL,LSL,SLSL,,SLSL,SSL,SLL,,NNNNNNNNN
bassit_partial,LSSL,LSL,SLSL,,LLSL,LSL,SLL,,NNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,LLSL,SSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LSSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,LLL,,LSSL,LSL,LLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,LSL,LLL,,LLSL,LSL,LLL,,NNNNNNNNNN
bassit_partial,LLSL,LSL,SLSL,,SLSL,LSL,SLL,,NNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLS,,LSSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,LLSL,SSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_partial,SLSL,LSL,SLSL,,LSSL,LSL,SLL,,NNNNNNNNN
bassit_partial,SLSL,LSL,LLSL,,SLSL,LSL,SLL,,NNNNNNNNN
bassit_mokhlaa,SLSL,LSL,SLL,,SLSL,LSL,SLL,,NNNNNNNNNN
bassit_partial,LLSL,LSL,SLSL,,SLSL,LSL,LLL,,NNNNNNNNN
bassit_partial,LSSL,LSL,SLSL,,LSSL,LSL,SLL,,NNNNNNNNN
bassit_mokhlaa,SLSL,LSL,LLL,,LLSL,LSL,LLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,SSL,SLS,,LLSL,LSL,SLL,,NNNNNNNNNN
bassit_mokhlaa,SLSL,SSL,SLS,,SLSL,LSL,SLL,,NNNNNNNNNN
sarii_complete,SLSL,SSSL,LS,,SLSL,SLSL,LL,,NNNNNNNNNN
bassit_partial,LLSL,SSL,LLSL,,LLSL,LSL,LLL,,NNNNNNNNN
