meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
wafir_partial,SLLL,SLLL,,,SLLL,SLSSL,,,NNNNNNNNNNNNN
wafir_partial,SLSSL,SLLL,,,SLLL,SLSSL,,,NNNNNNNNNNNN
wafir_partial,SLSSL,SLSSL,,,SLLL,SLSSL,,,NNNNNNNNNNN
wafir_partial,SLLL,SLLL,,,SLLL,SLSSL,,,NNNNNNNNNNNNN
wafir_partial,SLSSL,SLLL,,,SLLL,SLSSL,,,NNNNNNNNNNNN
wafir_partial,SLSSL,SLLL,,,SLLL,SLSSL,,,NNNNNNNNNNNN
wafir_partial,SLLL,SLSSL,,,SLSSL,SLSSL,,,NNNNNNNNNNN
wafir_partial,SLSSL,SLLL,,,SLLL,SLSSL,,,NNNNNNNNNNNN
wafir_partial,SLLL,SLSSL,,,SLLL,SLSSL,,,NNNNNNNNNNNN
wafir_partial,SLLL,SLSSL,,,SLLL,SLSSL,,,NNNNNNNNNNNN
wafir_partial,SLLL,SLSSL,,,SLSSL,SLSSL,,,NNNNNNNNNNN
wafir_partial,SLLL,SLSSL,,,SLLL,SLSSL,,,NNNNNNNNNNNN
wafir_partial,SLLL,SLSSL,,,SLSSL,SLSSL,,,NNNNNNNNNNN
wafir_partial,SLLL,SLSSL,,,SLLL,SLSSL,,,NNNNNNNNNNNN
wafir_partial,SLSSL,SLLL,,,SLLL,SLSSL,,,NNNNNNNNNNNN
wafir_partial,SLLL,SLLL,,,SLLL,SLSSL,,,NNNNNNNNNNNNN
wafir_partial,SLLL,SLLL,,,SLLL,SLSSL,,,NNNNNNNNNNNNN
wafir_partial,SLLL,SLSSL,,,SLSSL,SLSSL,,,NNNNNNNNNNN
wafir_partial,SLLL,SLSSL,,,SLLL,SLSSL,,,NNNNNNNNNNNN
