meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
wafir_partial,SLSSL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNN
wafir_partial,SLSSL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNN
hazaj_complete,SLLS,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLS,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
wafir_partial,SLLL,SLLL,,,SLSSL,SLLL,,,NNNNNNNNNNNNN
wafir_partial,SLLL,SLSSL,,,SLLL,SLLL,,,NNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
hazaj_complete,SLLL,SLLL,,,SLLL,SLLL,,,NNNNNNNNNNNNNN
