meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
sarii_complete,LLSL,LSSL,LSS,,LLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LSSL,LSSL,LSL,,LLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,LLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,SLSL,LLSL,LSL,,NNNNNNNN
sarii_complete,SLSL,LLSL,LSL,,LSSL,LLSL,LSL,,NNNNNNNN
sarii_complete,LSSL,LLSL,LSL,,LSSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LSSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LSSL,LSL,,LLSL,LSSL,LSL,,NNNNNNNN
sarii_complete,LLSL,LLSL,LSL,,LLSL,LSSL,LSL,,NNNNNNNN
