meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
tawil_complete,SLL,SLLL,SLS,SLSL,SLS,SLLL,SLS,SLSL,NN
tawil_complete,SLS,SLLL,SLL,SLSL,SLL,SLLL,SLL,SLSL,NN
tawil_complete,SLL,SLLL,SLS,SLSL,SLL,SLLL,SLL,SLSL,NN
tawil_complete,SLL,SLLL,SLL,SLSL,SLS,SLLL,SLL,SLSL,NN
tawil_complete,SLL,SLLL,SLS,SLSL,SLS,SLLL,SLL,SLSL,NN
tawil_complete,SLL,SLLL,SLS,SLSL,SLL,SLLL,SLL,SLSL,NN
tawil_complete,SLL,SLLL,SLS,SLSL,SLL,SLLL,SLL,SLSL,NN
tawil_complete,SLL,SLLL,SLL,SLSL,SLS,SLLL,SLS,SLSL,NN
tawil_complete,SLL,SLLL,SLS,SLSL,SLL,SLLL,SLS,SLSL,NN
tawil_complete,SLL,SLLL,SLS,SLSL,SLS,SLLL,SLL,SLSL,NN
tawil_complete,SLS,SLLL,SLS,SLSL,SLL,SLLL,SLL,SLSL,NN
tawil_complete,SLS,SLLL,SLL,SLSL,SLL,SLLL,SLS,SLSL,NN
tawil_complete,SLS,SLLL,SLS,SLSL,SLS,SLLL,SLS,SLSL,NN
tawil_complete,SLL,SLLL,SLL,SLSL,SLL,SLLL,SLL,SLSL,NN
tawil_complete,SLL,SLLL,SLL,SLSL,SLL,SLLL,SLL,SLSL,NN
tawil_complete,SLL,SLLL,SLL,SLSL,SLS,SLLL,SLS,SLSL,NN
