meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSS,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
ramal_partial,LSLL,LSLS,,,LSLL,SSL,,,NNNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
moqtadab_complete,LSLS,LSSL,,,LSLS,LSSL,,,NNNNNNNNNNNNNN
