meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
madid_complete,LSLL,LSL,LSLL,,SSLL,SSL,LSLL,,NNNNNNNN
madid_complete,LSLL,SSL,SSLL,,SSLL,SSL,LSLL,,NNNNNNNN
madid_complete,SSLL,LSL,LSLL,,SSLL,SSL,LSLL,,NNNNNNNN
madid_complete,LSLL,SSL,LSLL,,SSLL,LSL,LSLL,,NNNNNNNN
madid_complete,SSLL,LSL,LSLL,,LSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,SSL,SSLL,,SSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,LSL,LSLL,,SSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,LSL,LSLL,,SSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,LSL,LSLL,,LSLL,LSL,SSLL,,NNNNNNNN
madid_complete,SSLL,LSL,LSLL,,SSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,LSL,LSLL,,SSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,LSL,LSLL,,SSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,SSL,LSLL,,SSLL,LSL,LSLL,,NNNNNNNN
madid_complete,SSLL,LSL,LSLS,,SSLL,SSL,LSLL,,NNNNNNNN
madid_complete,SSLL,SSL,LSLL,,LSLL,SSL,LSLL,,NNNNNNNN
madid_complete,SSLL,LSL,LSLL,,LSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,SSL,LSLL,,SSLL,SSL,LSLL,,NNNNNNNN
madid_complete,LSLL,SSL,LSLL,,SSLL,SSL,LSLL,,NNNNNNNN
madid_complete,SSLL,LSL,LSLL,,SSLL,LSL,LSLL,,NNNNNNNN
madid_complete,SSLL,LSL,LSLL,,LSLL,LSL,LSLL,,NNNNNNNN
madid_complete,SSLL,SSL,LSLL,,LSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,LSL,LSLL,,LSLL,SSL,LSLL,,NNNNNNNN
madid_complete,LSLL,LSL,LSLL,,SSLL,SSL,LSLL,,NNNNNNNN
madid_complete,LSLL,SSL,LSLL,,SSLL,SSL,LSLL,,NNNNNNNN
madid_complete,SSLL,LSL,LSLL,,LSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,LSL,LSLL,,LSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,SSL,LSLL,,LSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,SSL,LSLL,,SSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,LSL,LSLL,,LSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,LSL,LSLS,,LSLL,LSL,LSLL,,NNNNNNNN
madid_complete,LSLL,SSL,LSLL,,LSLL,LSL,LSLL,,NNNNNNNN
