meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
motaqaarib_complete,SLL,SLL,SLL,SLL,SLS,SLL,SLL,SLL,NNNNNN
motaqaarib_complete,SLS,SLS,SLL,SL,SLL,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLS,SLL,SLL,SL,SLL,SLS,SLL,SLL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SL,SLL,SLL,SLS,SLL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SL,SLL,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLL,SLS,SLL,SLL,SLS,SLL,SLL,SLL,NNNNNN
motaqaarib_complete,SLS,SLL,SLL,SL,SLS,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLL,SLS,SLL,SL,SLL,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SL,SLS,SLS,SLL,SLL,NNNNNNN
motaqaarib_complete,SLL,SLS,SLL,SL,SLS,SLS,SLL,SLL,NNNNNNN
motaqaarib_complete,SLS,SLL,SLL,SL,SLL,SLS,SLL,SLL,NNNNNNN
motaqaarib_complete,SLS,SLS,SLL,SL,SLL,SLS,SLS,SLL,NNNNNNN
motaqaarib_complete,SLS,SLL,SLL,SL,SLL,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLS,SLL,SLL,SL,SLL,SLS,SLL,SLL,NNNNNNN
motaqaarib_complete,SLL,SLL,SLL,SL,SLL,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLS,SLL,SLL,SL,SLL,SLL,SLL,SLL,NNNNNNN
motaqaarib_complete,SLS,SLL,SLL,SL,SLS,SLL,SLL,SLL,NNNNNNN
