FILENAME,POET,POEM
Abdelmonim-Nagwa.csv,Abdelmonim Al Rifaaii,Nagwa
Abdulrahma-Bochraa Fa.csv,Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa
Abi Alatah-Inna Al Fa.csv,Abi Alatahiya,Inna Al Fanae
Abou Al Fa-Itha warad.csv,Abou Al Fayd Al Kattani,Itha waradna maaa madyana
Abou Al ka-Gannaho al.csv,Abou Al kasem Al Chabbi,Gannaho al amso
Abou Al ka-Yaa Labtis.csv,Abou Al kasem Al Chabbi,Yaa Labtissamati Qalbin
Abou Al ka-Yaa Rafiik.csv,Abou Al kasem Al Chabbi,Yaa Rafiiki
Abou Alala-Ijtanib An.csv,Abou Alalae Al Maarri,Ijtanib Annass
Abou Alala-Kollon 3la.csv,Abou Alalae Al Maarri,Kollon 3la Makrouhihi
Abou Alala-Qifee waqf.csv,Abou Alalae Al Maarri,Qifee waqfatan
Abou Firas-Allawmo Li.csv,Abou Firas Al Hamadani,Allawmo Lil3aachiqin
Abou Firas-Liayyikomo.csv,Abou Firas Al Hamadani,Liayyikomou athkoro
Abou Firas-Yaa Hasrat.csv,Abou Firas Al Hamadani,Yaa Hasratan
Abou Nawas-Ilaahana.csv,Abou Nawas,Ilaahana
Abou Nawas-3azzou Akh.csv,Abou Nawas,3azzou Akhillaya Qalbi
Acharif Ar-Amaa Konta.csv,Acharif Arradi,Amaa Konta Ma3a Alhayyi
Ahmed Al K-Foaadon mi.csv,Ahmed Al Kiwani,Foaadon miloho amalo
Ahmed Al K-Wajdon Lah.csv,Ahmed Al Kiwani,Wajdon Lahou
Ahmed Chaw-Afifo Al J.csv,Ahmed Chawqui,Afifo Al Jahri
Ahmed Chaw-Akhathat N.csv,Ahmed Chawqui,Akhathat Na3chaki Misrou
Ahmed Chaw-Bayna Sam3.csv,Ahmed Chawqui,Bayna Sam3i Allah
Ahmed Chaw-Fachawdato.csv,Ahmed Chawqui,Fachawdato Riwaayaton
Ahmed Chaw-Modnaka.csv,Ahmed Chawqui,Modnaka
Ahmed Chaw-Yabna Zayd.csv,Ahmed Chawqui,Yabna Zaydoun Marhaba
Ahmed Rami-Ila Um Kol.csv,Ahmed Rami,Ila Um Kolthoum
Ahmed Rami-Robaa3ayaa.csv,Ahmed Rami,Robaa3ayaat Al Khayyam
Al Aacha-Moallaqa.csv,Al Aacha,Moallaqa
Al Akhtal-Kad Gharra.csv,Al Akhtal,Kad Gharrahom
Al Bohtori-Maa Lilkab.csv,Al Bohtori,Maa Lilkabiiri Min Ghawaani
Al Boussir-Al Borda.csv,Al Boussiri,Al Borda
Al Charif -Ilaa Kam A.csv,Al Charif Al Mortada,Ilaa Kam Aqoudo Qawman
Al Harith -Moallaqa.csv,Al Harith Ibn Hiliza,Moallaqa
Al Hays Ba-Wa Bilqasr.csv,Al Hays Bays,Wa Bilqasri Arihi
