ID,POET,POEM,VERSE,PART2,PART1,ERA,POEM_METER,VERSE_METER
302,Abdelmonim Al Rifaaii,Nagwa,1,تَمْضِي إِلَى حَيْثُ البَعِيدِ البَعِيدْ,تَجْرِي وَأَحْلَامِيَ فِي غَيِّهَا,Modern,sarii_complete,sarii_complete
303,Abdelmonim Al Rifaaii,Nagwa,2,يَدْفَعُهُ الشَّوْقُ إِلَى مَا يُرِيدْ,أَنْتَ مُجِدٌّ سَالِكٌ دَرْبَهُ,Modern,sarii_complete,sarii_complete
304,Abdelmonim Al Rifaaii,Nagwa,3,يَسُوقُنِي حِينًا وَحِينًا يَحِيدْ,وَلِي خَيَالٌ سَارِحٌ بِالمُنَى,Modern,sarii_complete,sarii_complete
305,Abdelmonim Al Rifaaii,Nagwa,4,مُوَزَّعٌ فِيهِ شَرِيدٌ طَرِيدْ,كَأَنَّنِي وَالكَوْنُ فِي قَبْضَتِي,Modern,sarii_complete,sarii_complete
306,Abdelmonim Al Rifaaii,Nagwa,5,عَلَى الزَّمَانِ السَّرْمَدِيِّ الأَبِيدْ,أَنْتَ عَلَى العَهْدِ وَقَدْ صُنْتَهُ,Modern,sarii_complete,sarii_complete
307,Abdelmonim Al Rifaaii,Nagwa,6,لَهُ غَرَامٌ كُلَّ يَوْمٍ جَدِيدْ,هَلْ مَرَّ فِي شَطِّكَ مِنْ شَاعِرٍ,Modern,sarii_complete,sarii_complete
308,Abdelmonim Al Rifaaii,Nagwa,7,وَيَنْثَنِي وَالسَّهْلُ رَحْبٌ مَدِيدْ,يَسْمُو إِلَى الذِّرْوَةِ فِي زَهْوِهَا,Modern,sarii_complete,sarii_complete
309,Abdelmonim Al Rifaaii,Nagwa,8,أَرْقَى إِلَى ذَاكَ الجَمَالُ الفَرِيدْ,يَا لَيْتَنِي وَالسِّحْرُ عَالِي الذِّرَى,Modern,sarii_complete,sarii_complete
310,Abdelmonim Al Rifaaii,Nagwa,9,بَيْنَ هَوَى صَعْبٍ وَوَصْلٍ عَنِيدْ,وَأَنْشُقُ الزَّهْرَةَ فِي أَوْجِهَا,Modern,sarii_complete,sarii_complete
311,Abdelmonim Al Rifaaii,Nagwa,10,وَيَنْتَشِي الوَجْدُ وَيَحْلُو النَّشِيدْ,وَتَرْتَعُ النَّجْوَى عَلَى عَرْشِهَا,Modern,sarii_complete,sarii_complete
