POET,POEM,VERSE,PART1,PART2,ERA,POEM_METER,VERSE_METER
Abdelmonim Al Rifaaii,Nagwa,1,تَجْرِي وَأَحْلَامِيَ فِي غَيِّهَا,تَمْضِي إِلَى حَيْثُ البَعِيدِ البَعِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,2,أَنْتَ مُجِدٌّ سَالِكٌ دَرْبَهُ,يَدْفَعُهُ الشَّوْقُ إِلَى مَا يُرِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,3,وَلِي خَيَالٌ سَارِحٌ بِالمُنَى,يَسُوقُنِي حِينًا وَحِينًا يَحِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,4,كَأَنَّنِي وَالكَوْنُ فِي قَبْضَتِي,مُوَزَّعٌ فِيهِ شَرِيدٌ طَرِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,5,أَنْتَ عَلَى العَهْدِ وَقَدْ صُنْتَهُ,عَلَى الزَّمَانِ السَّرْمَدِيِّ الأَبِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,6,هَلْ مَرَّ فِي شَطِّكَ مِنْ شَاعِرٍ,لَهُ غَرَامٌ كُلَّ يَوْمٍ جَدِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,7,يَسْمُو إِلَى الذِّرْوَةِ فِي زَهْوِهَا,وَيَنْثَنِي وَالسَّهْلُ رَحْبٌ مَدِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,8,يَا لَيْتَنِي وَالسِّحْرُ عَالِي الذِّرَى,أَرْقَى إِلَى ذَاكَ الجَمَالُ الفَرِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,9,وَأَنْشُقُ الزَّهْرَةَ فِي أَوْجِهَا,بَيْنَ هَوَى صَعْبٍ وَوَصْلٍ عَنِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,10,وَتَرْتَعُ النَّجْوَى عَلَى عَرْشِهَا,وَيَنْتَشِي الوَجْدُ وَيَحْلُو النَّشِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,11,أَوْ لَيْتَنِي أَهْوِي إِلَى جَدْوَلٍ,حَيْثُ الرِّضَا بَعْضُ كِفَافٍ زَهِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,12,أَرْتَشِفُ القَطْرَةَ لَا أَرْتَوِي,وَرُبَّ صَادٍ لَا يَرُومُ المَزِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,13,أَسْأَلُهُ عَنْ شَأْنِهِ مَا لَهُ,عَافَ الرُّبَا وَاخْتَارَ ذَاكَ الصَّعِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,14,آهٍ عَلَى هَمْسِ الجَوَى حَوْلَهُ,وَقُبْلَةً تَحْيَا وَأُخْرَى تَبِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,15,وَسَاعِدٌ يَقْوَى عَلَى سَاعِدٍ,وَالتَّفُ خَصْرَانٌ وَجِيدٌ وَجِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,16,خَوَاطِرٌ يَا نِيلُ أَيْقَظْتَهَا,مَاذَا عَلَى رَجْعِ الصَّدَى لَوْ يُعِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,17,مَاذَا عَلَى الشَّاعِرِ لَوْ جَنَّحَتْ,بِهِ القَوَافِي وَاسْتَجَابَ القَصِيدْ,Modern,sarii_complete,sarii_complete
Abdelmonim Al Rifaaii,Nagwa,18,غَدًا سَأَرْوِي لَكَ مِنْ قِصَّتِي,عَنْ بَارِقٍ لَاحَ وَأُفْقٍ جَدِيدْ,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,1,بُشْرَى فَإِنَّ النَّصْرَ وَافَانَا,وَكَوْكَبُ النَّصْرِ لَقَدْ زَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,2,وَأَقْبَلَ الإِقْبَالَ فِي طَالِعٍ,فَوْقَ سُمُوتِ العِزِّ مُزْدَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,3,وَفَلَكُ المَجْدِ غَدًا دَائِرًا,بِأَنْجُمِ الفَخْرِ كَمَا كَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,4,وَالنَّصْرُ أَمْسَى نَجْمَهُ زَاهِرًا,زَيَّنَهُ الإِقْبَالُ فَازْدَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,5,وَالمَلِكُ السَّامِي غَدَا قَدْرُهُ,فَوْقَ السُّهَا نَاجِمِ كَيْوَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,6,فَخْرُ الوَرَى فَجْرُ الهُدَى نَيِّرٌ,بِهِ اسْتَضَاءَتْ آلَ عُثْمَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,7,ظُلْمَةُ أَهْلِ الجُورِ زَالَتْ بِهِ,مَا هُوَ إِلَّا شَمْسُ دُنْيَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,8,تَاجُ المُلُوكِ الصِّيدِ ذُو هِمَّةٍ,عَلْيَاءَ تَسْتَصْغِرُ ثَهْلَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,9,مَوْلَى النَّدَى مَوْلَى مِنَ المَالِ مَا,يَعْجُزُ عَنْهُ الخَطُّ حُسْبَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,10,ذُو رَاحَةٍ أَنْدَى مِنَ البَحْرِ إِذْ,قَدْ أَنْبَتَتْ لِلْوَفْدِ عُقْيَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,11,يَسْتَرُّ بِالجَائِي يَرُومُ العَطَا,مِنْهُ وَلَوْ أَنْفَسَ مَا كَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,12,فَكَعْبَةَ الوَفْدِ غَدَتْ دَارُهُ,حَيْثُ بَنَى لِلْحَمْدِ أَرْكَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,13,لِلْوَارِدِينَ الجُودِ مِنْ كَفِّهِ,أَسَالُ جَيْحُونًا وَجَيْحَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,14,عِمَادُ أَهْلِ العِزِّ رُكْنُ العُلَى,أَحْسَنُ أَهْلِ الجُودِ إِحْسَانَا,Modern,sarii_complete,sarii_complete
Abdulrahman Al Souaydi,Bochraa FaInna Annasra Waafaanaa,15,البَطَلُ المِغْوَارُ وَقْتَ اللِّقَا,وَفِي الوَغَى لَا زَالَ طَعَّانَا,Modern,sarii_complete,sarii_complete
